term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6275408289957618,0.05204391652611227,-12.057909375073693,5.7218427096926745e-33,-0.6275408289957618,-0.7295469053869419,-0.5255347526045817
profile2,-0.3735808259065334,0.15917533652910543,-2.346976824755911,0.018970018294215976,-0.10295401253285119,-0.4149376721298978,0.2090296470641954
profile3,0.40105546322178987,0.22380030173956053,1.7920237823830265,0.07319703967207722,0.07937553388673743,-0.35927305752280125,0.5180241252962761
profile4,-0.11824917426072777,0.1912602480373126,-0.6182632066735518,0.536433478626611,-0.02874193511571945,-0.4036120212688521,0.34612815103741323
age,0.08335013538674658,0.015480881099220743,5.384069217542286,7.656822144030565e-8,0.0831902965875689,0.05284776963309624,0.11353282354204156
sex,0.37319616289260565,0.03208550391342308,11.63130128482968,7.941750874044002e-31,0.1866018064418682,0.12371421877155896,0.2494893941121774
fas,0.005974014949101969,0.014624145886313477,0.4085035116268199,0.6829236998907489,0.00591018316174452,-0.022753142775429894,0.03457350909891893
profile2:sex,0.4826454985913017,0.11082065040320005,4.355194603490297,1.3593761196461201e-5,0.18904549014697677,-0.028162984643295308,0.40625396493724886
profile3:sex,-0.06432729820105382,0.14743391260359973,-0.4363127659374293,0.6626309778105022,-0.0192919264362586,-0.3082623951393141,0.2696785422667969
profile4:sex,0.34324066478442045,0.11907574649174762,2.8825405248096283,0.003963714279736459,0.13361207769756972,-0.09977638542625561,0.36700054082139505
